0 53 54 0 1
16000 53 55 0 1
32000 53 56 0 1
48000 53 57 0 1
64000 53 58 0 1
80000 53 59 0 1
96000 53 60 0 1
112000 53 61 0 1
128000 53 62 0 1
144000 53 63 0 1
160000 53 64 0 1
176000 53 65 0 1
192000 53 66 0 1
208000 53 67 0 1
224000 53 68 0 1
240000 53 69 0 1
256000 53 70 0 1
272000 53 71 0 1
288000 53 72 0 1
304000 53 73 0 1
320000 53 74 0 1
347000 53 73 0 1
363000 53 72 0 1
366000 54 72 0 1
379000 54 71 0 1
395000 54 70 0 1
398000 55 70 0 1
411000 55 69 0 1
427000 55 68 0 1
430000 56 68 0 1
443000 56 67 0 1
459000 56 66 0 1
462000 57 66 0 1
475000 57 65 0 1
491000 57 64 0 1
494000 58 64 0 1
507000 58 63 0 1
523000 58 62 0 1
526000 59 62 0 1
539000 59 61 0 1
555000 59 60 0 1
558000 60 60 0 1
571000 60 59 0 1
587000 60 58 0 1
590000 61 58 0 1
603000 61 57 0 1
619000 61 56 0 1
622000 62 56 0 1
635000 62 55 0 1
651000 62 54 0 1
654000 63 54 0 1
683000 63 55 0 1
699000 63 56 0 1
715000 63 57 0 1
731000 63 58 0 1
747000 63 59 0 1
763000 63 60 0 1
779000 63 61 0 1
795000 63 62 0 1
811000 63 63 0 1
827000 63 64 0 1
843000 63 65 0 1
859000 63 66 0 1
875000 63 67 0 1
891000 63 68 0 1
907000 63 69 0 1
923000 63 70 0 1
939000 63 71 0 1
955000 63 72 0 1
971000 63 73 0 1
987000 63 74 0 1
0 65 54 0 0
16000 65 55 0 0
32000 65 56 0 0
48000 65 57 0 0
64000 65 58 0 0
80000 65 59 0 0
96000 65 60 0 0
112000 65 61 0 0
128000 65 62 0 0
144000 65 63 0 0
160000 65 64 0 0
176000 65 65 0 0
192000 65 66 0 0
208000 65 67 0 0
224000 65 68 0 0
240000 65 69 0 0
256000 65 70 0 0
272000 65 71 0 0
288000 65 72 0 0
304000 65 73 0 0
320000 65 74 0 0
347000 65 73 0 0
350000 66 73 0 0
363000 66 72 0 0
379000 66 71 0 0
382000 67 71 0 0
395000 67 70 0 0
411000 67 69 0 0
414000 68 69 0 0
427000 68 68 0 0
443000 68 67 0 0
446000 69 67 0 0
459000 69 66 0 0
475000 69 65 0 0
478000 70 65 0 0
491000 70 64 0 0
507000 70 63 0 0
510000 71 63 0 0
